[14:41:47] [Trend] EXEC: SELL 1 BAJAJ-AUTO.NS @ 8,122.00 | Strat Cash: 546,391.05 | Pos: 0
[14:42:49] [Trend] EXEC: SELL 4 BHARTIARTL.NS @ 1,917.90 | Strat Cash: 554,062.65 | Pos: 0
[14:42:49] [Trend] EXEC: SELL 3 KOTAKBANK.NS @ 1,970.20 | Strat Cash: 559,973.25 | Pos: 0
[14:43:52] [MeanReversion] EXEC: BUY 3 SBILIFE.NS @ 1,828.60 | Strat Cash: 338,763.31 | Pos: 3
[14:43:52] [Trend] EXEC: SELL 44 TATASTEEL.NS @ 161.46 | Strat Cash: 567,077.49 | Pos: 0
[14:49:01] [Trend] EXEC: SELL 4 BAJAJFINSV.NS @ 1,972.10 | Strat Cash: 574,965.89 | Pos: 0
[14:50:02] [Trend] EXEC: SELL 1 APOLLOHOSP.NS @ 7,456.00 | Strat Cash: 582,421.89 | Pos: 0
[14:50:02] [Trend] EXEC: SELL 8 AXISBANK.NS @ 1,064.10 | Strat Cash: 590,934.69 | Pos: 0
[14:50:02] [MeanReversion] EXEC: BUY 1 BRITANNIA.NS @ 5,620.50 | Strat Cash: 333,142.81 | Pos: 1
[14:50:02] [MeanReversion] EXEC: BUY 2 NESTLEIND.NS @ 2,224.10 | Strat Cash: 328,694.61 | Pos: 2
[14:50:02] [Trend] EXEC: SELL 5 SBILIFE.NS @ 1,830.00 | Strat Cash: 600,084.69 | Pos: 0
[14:52:09] [MeanReversion] EXEC: BUY 4 INFY.NS @ 1,511.50 | Strat Cash: 322,648.61 | Pos: 4
[14:52:09] [Trend] EXEC: SELL 2 LT.NS @ 3,491.70 | Strat Cash: 607,068.09 | Pos: 0
[14:52:09] [Trend] EXEC: BUY 7 SUNPHARMA.NS @ 1,713.30 | Strat Cash: 595,074.99 | Pos: 7
[14:52:09] [Trend] EXEC: SELL 9 TATACONSUM.NS @ 1,062.50 | Strat Cash: 604,637.49 | Pos: 0
[14:53:10] [Trend] EXEC: BUY 6 KOTAKBANK.NS @ 1,972.50 | Strat Cash: 592,802.49 | Pos: 6
[14:54:12] [MeanReversion] EXEC: SELL 3 ADANIENT.NS @ 2,549.30 | Strat Cash: 330,296.51 | Pos: 0
[14:54:12] [MeanReversion] EXEC: SELL 6 ADANIPORTS.NS @ 1,393.80 | Strat Cash: 338,659.31 | Pos: 0
[14:54:12] [MeanReversion] EXEC: SELL 8 JSWSTEEL.NS @ 1,039.60 | Strat Cash: 346,976.11 | Pos: 0
[14:56:18] [Trend] EXEC: SELL 1 BRITANNIA.NS @ 5,615.00 | Strat Cash: 598,417.49 | Pos: 0
[14:56:18] [MeanReversion] EXEC: SELL 2 HEROMOTOCO.NS @ 4,322.10 | Strat Cash: 355,620.31 | Pos: 0
[14:56:18] [MeanReversion] EXEC: SELL 11 SBIN.NS @ 798.35 | Strat Cash: 364,402.16 | Pos: 0
[14:56:18] [MeanReversion] EXEC: SELL 46 TATASTEEL.NS @ 161.62 | Strat Cash: 371,836.68 | Pos: 0
[14:57:19] [Trend] EXEC: SELL 1 EICHERMOT.NS @ 5,460.00 | Strat Cash: 603,877.49 | Pos: 0
[14:59:23] [MeanReversion] EXEC: BUY 4 CIPLA.NS @ 1,574.10 | Strat Cash: 365,540.28 | Pos: 4
[14:59:23] [MeanReversion] EXEC: SELL 12 HINDALCO.NS @ 692.45 | Strat Cash: 373,849.68 | Pos: 0
[15:00:24] [Trend] EXEC: SELL 4 ASIANPAINT.NS @ 2,393.50 | Strat Cash: 613,451.49 | Pos: 0
[15:00:24] [MeanReversion] EXEC: BUY 22 BPCL.NS @ 334.55 | Strat Cash: 366,489.58 | Pos: 22
[15:00:24] [MeanReversion] EXEC: BUY 1 DIVISLAB.NS @ 6,667.50 | Strat Cash: 359,822.08 | Pos: 1
[15:00:24] [MeanReversion] EXEC: SELL 4 HDFCBANK.NS @ 2,018.10 | Strat Cash: 367,894.48 | Pos: 0
[15:00:24] [MeanReversion] EXEC: BUY 6 TATACONSUM.NS @ 1,061.80 | Strat Cash: 361,523.68 | Pos: 6
[15:01:26] [Trend] EXEC: SELL 3 HINDUNILVR.NS @ 2,452.00 | Strat Cash: 620,807.49 | Pos: 0
[15:01:26] [MeanReversion] EXEC: SELL 5 ICICIBANK.NS @ 1,485.20 | Strat Cash: 368,949.68 | Pos: 0
[15:01:26] [Trend] EXEC: BUY 15 INDUSINDBK.NS @ 809.25 | Strat Cash: 608,668.74 | Pos: 15
[15:02:28] [Trend] EXEC: BUY 6 SBILIFE.NS @ 1,832.80 | Strat Cash: 597,671.94 | Pos: 6
[15:03:29] [Trend] EXEC: BUY 8 ADANIPORTS.NS @ 1,394.80 | Strat Cash: 586,513.54 | Pos: 8
[15:03:29] [MeanReversion] EXEC: SELL 22 BPCL.NS @ 335.25 | Strat Cash: 376,325.18 | Pos: 0
[15:03:29] [MeanReversion] EXEC: SELL 24 ITC.NS @ 408.65 | Strat Cash: 386,132.78 | Pos: 0
[15:04:31] [Trend] EXEC: BUY 48 ONGC.NS @ 241.47 | Strat Cash: 574,922.98 | Pos: 48
[15:05:33] [Trend] EXEC: BUY 7 HCLTECH.NS @ 1,472.70 | Strat Cash: 564,614.08 | Pos: 7
[15:05:33] [Trend] EXEC: BUY 33 NTPC.NS @ 334.30 | Strat Cash: 553,582.18 | Pos: 33
